date,P,E,obs,is_calibration
1970-01-01,0.917415876647683,6.65865902633758,0.349618055555556,TRUE
1970-01-02,11.4576321603472,5.59627196369965,0.320347222222222,TRUE
1970-01-03,0,6.31445638627728,0.267025462962963,TRUE
1970-01-04,0,6.80344506790703,0.175717592592593,TRUE
1970-01-05,0,7.07984711202012,0.134548611111111,TRUE
1970-01-06,0.397374247294325,7.22703843875842,0.0850925925925926,TRUE
1970-01-07,0.745356306779239,6.25976654802415,0.032650462962963,TRUE
1970-01-08,16.0458641962739,5.95558947871003,0.0392476851851852,TRUE
1970-01-09,0.661746990769648,6.71641510213864,0.241087962962963,TRUE
1970-01-10,4.68622592768865,7.08578410922544,0.47599537037037,TRUE
1970-01-11,0.0499048463436402,7.31727282831945,0.414363425925926,TRUE
1970-01-12,17.102005504627,6.99330537356555,0.24662037037037,TRUE
1970-01-13,4.58392725748488,7.14885568729881,0.103657407407407,TRUE
1970-01-14,0,7.16167573530439,0.0301967592592593,TRUE
1970-01-15,0.000918338213684305,5.53582079532736,0.00408564814814815,TRUE
1970-01-16,0.0528160249645254,6.32091514691701,0,TRUE
1970-01-17,0.0882335584832032,6.86352921425508,0,TRUE
1970-01-18,7.87757559594383,7.30594329168727,0,TRUE
1970-01-19,1.33543590956591,7.41687435053014,0,TRUE
1970-01-20,6.68361671130155,7.36343524376666,0,TRUE
1970-01-21,1.46681490950007,7.31436763025215,0,TRUE
1970-01-22,6.54292283826688,5.6756072729108,0,TRUE
1970-01-23,0.409894601466938,6.69388349691762,0,TRUE
1970-01-24,0.133573611879288,6.75639941106077,0,TRUE
1970-01-25,0.565487711222707,6.89068687873131,0,TRUE
1970-01-26,3.45109363355094,6.68722375721272,0,TRUE
1970-01-27,9.90064863782566,5.75708666984116,0,TRUE
1970-01-28,15.9827643262178,6.29604885811079,0,TRUE
1970-01-29,4.91558898825332,5.39961939576287,0.442268518518519,TRUE
1970-01-30,7.69489522388466,5.4647793031095,0.617418981481481,TRUE
1970-01-31,1.55516313456403,5.84435808879293,0.589918981481481,TRUE
1970-02-01,1.40981392465764,5.56924872119082,0.519953703703704,TRUE
1970-02-02,1.12174018499265,5.04816348543255,0.50443287037037,TRUE
1970-02-03,0.477909445937842,5.48615065241114,0.518865740740741,TRUE
1970-02-04,0.0504242858823151,5.61234111349576,0.4796875,TRUE
1970-02-05,0.0205195153057646,5.90067812076001,0.479201388888889,TRUE
1970-02-06,0,5.72751877747692,0.434571759259259,TRUE
1970-02-07,0,5.67723163162116,0.328078703703704,TRUE
1970-02-08,0.00847941462635312,5.45258015794075,0.227592592592593,TRUE
1970-02-09,0.226896034192856,5.20132193098822,0.159953703703704,TRUE
1970-02-10,0.215577309496079,5.91642229246109,0.0934722222222222,TRUE
1970-02-11,0.00188572862809955,5.5762958351865,0.0528125,TRUE
1970-02-12,0,6.02349230343621,0.023912037037037,TRUE
1970-02-13,0.0608974422063783,5.62762510984399,0.00498842592592593,TRUE
1970-02-14,0.0570642352327196,5.79930384680367,4.62962962962963e-05,TRUE
1970-02-15,1.16562340567332,6.29844683009178,0,TRUE
1970-02-16,14.7469781947763,6.26947487571736,0,TRUE
1970-02-17,14.2473132753605,6.05274945789237,0,TRUE
1970-02-18,0.975407619098552,6.29355382995695,0,TRUE
1970-02-19,0,6.30695309511027,0,TRUE
1970-02-20,0.000674945010057464,6.54612145559054,0,TRUE
1970-02-21,0.0249186147251461,4.83638855661005,0,TRUE
1970-02-22,0.899530030591311,4.63186738354184,0,TRUE
1970-02-23,9.70727218176825,5.11466890251783,0,TRUE
1970-02-24,3.82568456012313,5.44411911120934,0,TRUE
1970-02-25,4.55915539980907,6.00042256836304,0,TRUE
1970-02-26,1.11524432477166,5.93560152256629,0,TRUE
1970-02-27,2.12976321719301,6.04877470598975,0,TRUE
1970-02-28,0.182022867284096,5.90062063288685,0,TRUE
1970-03-01,3.62225743985416,5.09944142167369,0,TRUE
1970-03-02,0,5.09845011085486,0,TRUE
1970-03-03,0.00325702464853345,5.17067138975039,0,TRUE
1970-03-04,0,5.55265842526625,0,TRUE
1970-03-05,0,5.72093202559546,0,TRUE
1970-03-06,0.225217844014383,6.02633348092113,0,TRUE
1970-03-07,4.03858313423597,6.04920358596111,0,TRUE
